## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates CLEAR_DT=false ADD_PG_TAG_TO_READS=false INPUT=[sample_42_mt.mba.bam] OUTPUT=sample_42_mt.mba_dedup.bam METRICS_FILE=sample_42_mt.mba_dup_metrics.txt ASSUME_SORT_ORDER=queryname OPTICAL_DUPLICATE_PIXEL_DISTANCE=2500 VALIDATION_STRINGENCY=SILENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLEX_UMI=false REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 20 14:09:29 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Sample_42	0	53737	498	4	0	856	335	0.015929	2718997

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.006211	52036	0	52364
2.0	1.992732	834	331	513
3.0	2.959946	11	2	4
4.0	3.908233	0	0	0
5.0	4.837962	0	0	0
6.0	5.749497	0	0	0
7.0	6.643193	0	0	0
8.0	7.519401	0	0	0
9.0	8.378461	0	0	0
10.0	9.22071	0	0	0
11.0	10.046476	0	0	0
12.0	10.856083	0	0	0
13.0	11.649846	0	0	0
14.0	12.428076	0	0	0
15.0	13.191076	0	0	0
16.0	13.939144	0	0	0
17.0	14.672573	0	0	0
18.0	15.391649	0	0	0
19.0	16.096653	0	0	0
20.0	16.787861	0	0	0
21.0	17.465542	0	0	0
22.0	18.129961	0	0	0
23.0	18.781378	0	0	0
24.0	19.420047	0	0	0
25.0	20.046217	0	0	0
26.0	20.660134	0	0	0
27.0	21.262036	0	0	0
28.0	21.85216	0	0	0
29.0	22.430735	0	0	0
30.0	22.997988	0	0	0
31.0	23.554139	0	0	0
32.0	24.099408	0	0	0
33.0	24.634005	0	0	0
34.0	25.158141	0	0	0
35.0	25.67202	0	0	0
36.0	26.175842	0	0	0
37.0	26.669805	0	0	0
38.0	27.154101	0	0	0
39.0	27.628919	0	0	0
40.0	28.094446	0	0	0
41.0	28.550863	0	0	0
42.0	28.998348	0	0	0
43.0	29.437075	0	0	0
44.0	29.867217	0	0	0
45.0	30.288941	0	0	0
46.0	30.702413	0	0	0
47.0	31.107793	0	0	0
48.0	31.50524	0	0	0
49.0	31.894909	0	0	0
50.0	32.276952	0	0	0
51.0	32.651519	0	0	0
52.0	33.018756	0	0	0
53.0	33.378806	0	0	0
54.0	33.73181	0	0	0
55.0	34.077906	0	0	0
56.0	34.417229	0	0	0
57.0	34.749912	0	0	0
58.0	35.076084	0	0	0
59.0	35.395874	0	0	0
60.0	35.709405	0	0	0
61.0	36.0168	0	0	0
62.0	36.31818	0	0	0
63.0	36.613662	0	0	0
64.0	36.903362	0	0	0
65.0	37.187392	0	0	0
66.0	37.465864	0	0	0
67.0	37.738887	0	0	0
68.0	38.006566	0	0	0
69.0	38.269007	0	0	0
70.0	38.526313	0	0	0
71.0	38.778583	0	0	0
72.0	39.025916	0	0	0
73.0	39.268409	0	0	0
74.0	39.506156	0	0	0
75.0	39.739251	0	0	0
76.0	39.967785	0	0	0
77.0	40.191846	0	0	0
78.0	40.411522	0	0	0
79.0	40.626899	0	0	0
80.0	40.838062	0	0	0
81.0	41.045092	0	0	0
82.0	41.248071	0	0	0
83.0	41.447077	0	0	0
84.0	41.642189	0	0	0
85.0	41.833483	0	0	0
86.0	42.021033	0	0	0
87.0	42.204913	0	0	0
88.0	42.385195	0	0	0
89.0	42.561948	0	0	0
90.0	42.735243	0	0	0
91.0	42.905146	0	0	0
92.0	43.071724	0	0	0
93.0	43.235043	0	0	0
94.0	43.395165	0	0	0
95.0	43.552154	0	0	0
96.0	43.70607	0	0	0
97.0	43.856975	0	0	0
98.0	44.004927	0	0	0
99.0	44.149983	0	0	0
100.0	44.2922	0	0	0

